time	V(N021,Vo_led7)	V(Vcc_led,Vi_led7)	I(D28)
5.181734401844563e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.182492494071209e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.184492494071209e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.185492494071209e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186000000000000e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186301181655043e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186397636689913e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186590546759652e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186696421029877e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186788251459550e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186816339140654e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186872514502863e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186887649275583e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186917918821023e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186939460909121e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186956915823802e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186965090170638e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.186981438864309e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.187000000000000e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.187000330000000e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.187000990000000e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.187002310000000e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.187004950000000e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.187010230000000e-06	5.108323e+00	3.495319e+00	6.990644e+00
5.187397103012628e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.187783976025258e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.188170849037886e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.188557722050515e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.188944595063143e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.189331468075773e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.189718341088401e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.190421603730218e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.191007686928805e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.191593770127393e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.192179853325979e-06	5.108323e+00	3.495319e+00	6.990645e+00
5.192765936524567e-06	5.108324e+00	3.495320e+00	6.990645e+00
