time	V(Vcc_led,Vi_led5)	V(Vi_led5,N001)	I(D6)
5.567210108030938e-06	0.000000e+00	4.959106e-05	-1.602202e-07
5.568210108030938e-06	0.000000e+00	4.959106e-05	-2.679371e-08
5.569210108030938e-06	0.000000e+00	5.340576e-05	8.867937e-08
5.570210108030937e-06	0.000000e+00	5.340576e-05	1.760327e-07
5.571210108030938e-06	0.000000e+00	5.340576e-05	2.402667e-07
5.572210108030937e-06	0.000000e+00	5.340576e-05	2.762081e-07
5.573210108030938e-06	0.000000e+00	5.340576e-05	2.926554e-07
5.574210108030938e-06	0.000000e+00	5.340576e-05	2.872566e-07
5.575210108030937e-06	0.000000e+00	5.340576e-05	2.703910e-07
5.576210108030938e-06	0.000000e+00	5.340576e-05	2.404904e-07
5.577210108030937e-06	0.000000e+00	5.340576e-05	2.077504e-07
5.578210108030938e-06	0.000000e+00	5.340576e-05	1.699664e-07
5.579210108030938e-06	0.000000e+00	5.340576e-05	1.360950e-07
5.580210108030938e-06	0.000000e+00	5.340576e-05	1.026165e-07
5.581210108030938e-06	0.000000e+00	5.340576e-05	7.689414e-08
5.582210108030937e-06	0.000000e+00	5.340576e-05	5.404036e-08
5.583210108030938e-06	0.000000e+00	5.340576e-05	4.001959e-08
5.584210108030938e-06	0.000000e+00	5.340576e-05	2.892011e-08
5.585210108030938e-06	0.000000e+00	5.340576e-05	2.574416e-08
5.586210108030938e-06	0.000000e+00	5.340576e-05	2.405250e-08
5.587210108030937e-06	0.000000e+00	4.959106e-05	2.839624e-08
5.588210108030938e-06	0.000000e+00	4.959106e-05	3.226523e-08
5.589210108030937e-06	0.000000e+00	4.959106e-05	4.015783e-08
5.590210108030938e-06	0.000000e+00	4.959106e-05	4.581671e-08
5.591210108030938e-06	0.000000e+00	4.959106e-05	5.392576e-08
5.592210108030938e-06	0.000000e+00	4.959106e-05	5.862603e-08
5.593210108030938e-06	0.000000e+00	5.340576e-05	6.486152e-08
5.594210108030937e-06	0.000000e+00	5.340576e-05	6.718619e-08
5.595210108030938e-06	0.000000e+00	5.340576e-05	7.076596e-08
5.596210108030938e-06	0.000000e+00	5.340576e-05	7.047856e-08
5.597210108030938e-06	0.000000e+00	5.340576e-05	7.161179e-08
5.598210108030938e-06	0.000000e+00	5.340576e-05	6.925620e-08
5.599210108030937e-06	0.000000e+00	5.340576e-05	6.870687e-08
5.600210108030938e-06	0.000000e+00	5.340576e-05	6.516166e-08
5.601210108030938e-06	0.000000e+00	5.340576e-05	6.382834e-08
5.602210108030938e-06	0.000000e+00	5.340576e-05	5.994116e-08
5.603210108030938e-06	0.000000e+00	5.340576e-05	5.858055e-08
5.604210108030938e-06	0.000000e+00	5.340576e-05	5.497895e-08
5.605210108030938e-06	0.000000e+00	5.340576e-05	5.406218e-08
5.606210108030937e-06	0.000000e+00	5.340576e-05	5.105721e-08
5.607210108030938e-06	0.000000e+00	5.340576e-05	5.074980e-08
5.608210108030938e-06	0.000000e+00	5.340576e-05	4.838694e-08
5.609210108030938e-06	0.000000e+00	5.340576e-05	4.864341e-08
5.610210108030938e-06	0.000000e+00	5.340576e-05	4.679896e-08
5.611210108030937e-06	0.000000e+00	5.340576e-05	4.744106e-08
5.612210108030938e-06	0.000000e+00	5.340576e-05	4.591311e-08
5.613210108030938e-06	0.000000e+00	5.340576e-05	4.673348e-08
5.614210108030938e-06	0.000000e+00	5.340576e-05	4.532558e-08
5.615210108030938e-06	0.000000e+00	5.340576e-05	4.615686e-08
5.616210108030937e-06	0.000000e+00	5.340576e-05	4.472895e-08
5.617210108030938e-06	0.000000e+00	5.340576e-05	4.546200e-08
5.618210108030938e-06	0.000000e+00	5.340576e-05	4.394315e-08
5.619210108030938e-06	0.000000e+00	4.959106e-05	4.454159e-08
5.620210108030938e-06	0.000000e+00	4.959106e-05	4.292087e-08
5.621210108030938e-06	0.000000e+00	4.959106e-05	4.339563e-08
5.622210108030938e-06	0.000000e+00	4.959106e-05	4.170033e-08
5.623210108030937e-06	0.000000e+00	4.959106e-05	4.209141e-08
5.624210108030938e-06	0.000000e+00	4.959106e-05	4.036883e-08
5.625210108030938e-06	0.000000e+00	4.959106e-05	4.072535e-08
5.626210108030938e-06	0.000000e+00	4.959106e-05	3.901914e-08
5.627210108030938e-06	0.000000e+00	5.340576e-05	3.937748e-08
5.628210108030937e-06	0.000000e+00	5.340576e-05	3.771493e-08
5.629210108030938e-06	0.000000e+00	5.340576e-05	3.809691e-08
5.630210108030938e-06	0.000000e+00	5.340576e-05	3.649620e-08
5.631210108030938e-06	0.000000e+00	5.340576e-05	3.691093e-08
5.632210108030938e-06	0.000000e+00	5.340576e-05	3.536843e-08
5.633210108030938e-06	0.000000e+00	5.340576e-05	3.581226e-08
5.634210108030938e-06	0.000000e+00	5.340576e-05	3.432797e-08
5.635210108030938e-06	0.000000e+00	5.340576e-05	3.479363e-08
5.636210108030938e-06	0.000000e+00	5.340576e-05	3.335117e-08
5.637210108030938e-06	0.000000e+00	5.340576e-05	3.382775e-08
5.638210108030938e-06	0.000000e+00	5.340576e-05	3.241985e-08
5.639210108030938e-06	0.000000e+00	5.340576e-05	3.289460e-08
5.640210108030938e-06	0.000000e+00	5.340576e-05	3.150853e-08
5.641210108030938e-06	0.000000e+00	5.340576e-05	3.197783e-08
5.642210108030938e-06	0.000000e+00	5.340576e-05	3.061359e-08
5.643210108030938e-06	0.000000e+00	5.340576e-05	3.107561e-08
5.644210108030938e-06	0.000000e+00	5.340576e-05	2.973138e-08
5.645210108030937e-06	0.000000e+00	5.340576e-05	3.018977e-08
5.646210108030938e-06	0.000000e+00	5.340576e-05	2.886736e-08
5.647210108030938e-06	0.000000e+00	5.340576e-05	2.931847e-08
5.648210108030938e-06	0.000000e+00	5.340576e-05	2.801789e-08
5.649210108030938e-06	0.000000e+00	5.340576e-05	2.846718e-08
5.650210108030938e-06	0.000000e+00	5.340576e-05	2.719025e-08
5.651210108030938e-06	0.000000e+00	5.340576e-05	2.763954e-08
5.652210108030938e-06	0.000000e+00	5.340576e-05	2.638808e-08
5.653210108030938e-06	0.000000e+00	5.340576e-05	2.683737e-08
5.654210108030938e-06	0.000000e+00	5.340576e-05	2.561137e-08
5.655210108030938e-06	0.000000e+00	5.340576e-05	2.606066e-08
5.656210108030938e-06	0.000000e+00	5.340576e-05	2.486013e-08
5.657210108030938e-06	0.000000e+00	5.340576e-05	2.531124e-08
5.658210108030938e-06	0.000000e+00	5.340576e-05	2.413617e-08
5.659210108030938e-06	0.000000e+00	5.340576e-05	2.458546e-08
5.660210108030938e-06	0.000000e+00	5.340576e-05	2.343040e-08
5.661210108030938e-06	0.000000e+00	4.959106e-05	2.387969e-08
5.662210108030938e-06	0.000000e+00	4.959106e-05	2.275010e-08
5.663210108030938e-06	0.000000e+00	4.959106e-05	2.319757e-08
5.664210108030938e-06	0.000000e+00	4.959106e-05	2.208799e-08
5.665210108030938e-06	0.000000e+00	4.959106e-05	2.253364e-08
5.666210108030938e-06	0.000000e+00	4.959106e-05	2.144407e-08
5.667210108030938e-06	0.000000e+00	4.959106e-05	2.188608e-08
5.668210108030938e-06	0.000000e+00	4.959106e-05	2.081833e-08
5.669210108030938e-06	0.000000e+00	4.959106e-05	2.126035e-08
5.670210108030938e-06	0.000000e+00	4.959106e-05	2.021079e-08
5.671210108030938e-06	0.000000e+00	5.340576e-05	2.064917e-08
5.672210108030938e-06	0.000000e+00	5.340576e-05	1.961962e-08
5.673210108030938e-06	0.000000e+00	5.340576e-05	2.005618e-08
5.674210108030938e-06	0.000000e+00	5.340576e-05	1.904664e-08
5.675210108030938e-06	0.000000e+00	5.340576e-05	1.948138e-08
5.676210108030938e-06	0.000000e+00	5.340576e-05	1.849185e-08
5.677210108030938e-06	0.000000e+00	5.340576e-05	1.892477e-08
5.678210108030938e-06	0.000000e+00	5.340576e-05	1.795161e-08
5.679210108030938e-06	0.000000e+00	5.340576e-05	1.838089e-08
5.680210108030938e-06	0.000000e+00	5.340576e-05	1.742774e-08
5.681210108030938e-06	0.000000e+00	5.340576e-05	1.785702e-08
5.682210108030938e-06	0.000000e+00	5.340576e-05	1.692206e-08
5.683210108030938e-06	0.000000e+00	5.340576e-05	1.734588e-08
5.684210108030938e-06	0.000000e+00	5.340576e-05	1.642547e-08
5.685210108030938e-06	0.000000e+00	5.340576e-05	1.684930e-08
5.686210108030938e-06	0.000000e+00	5.340576e-05	1.594890e-08
5.687210108030938e-06	0.000000e+00	5.340576e-05	1.636727e-08
5.688210108030938e-06	0.000000e+00	5.340576e-05	1.548142e-08
5.689210108030938e-06	0.000000e+00	5.340576e-05	1.589979e-08
5.690210108030938e-06	0.000000e+00	5.340576e-05	1.503031e-08
5.691210108030938e-06	0.000000e+00	5.340576e-05	1.544322e-08
5.692210108030938e-06	0.000000e+00	5.340576e-05	1.459193e-08
5.693210108030938e-06	0.000000e+00	5.340576e-05	1.500484e-08
5.694210108030938e-06	0.000000e+00	5.340576e-05	1.416811e-08
5.695210108030938e-06	0.000000e+00	5.340576e-05	1.457556e-08
5.696210108030938e-06	0.000000e+00	5.340576e-05	1.375156e-08
5.697210108030938e-06	0.000000e+00	5.340576e-05	1.415719e-08
5.698210108030938e-06	0.000000e+00	5.340576e-05	1.335320e-08
5.699210108030938e-06	0.000000e+00	5.340576e-05	1.375702e-08
5.700210108030938e-06	0.000000e+00	5.340576e-05	1.296394e-08
5.701210108030938e-06	0.000000e+00	5.340576e-05	1.336230e-08
5.702210108030938e-06	0.000000e+00	5.340576e-05	1.258377e-08
5.703210108030938e-06	0.000000e+00	5.340576e-05	1.298031e-08
5.704210108030938e-06	0.000000e+00	5.340576e-05	1.221815e-08
5.705210108030938e-06	0.000000e+00	5.340576e-05	1.261287e-08
5.706210108030938e-06	0.000000e+00	5.340576e-05	1.186345e-08
5.707210108030938e-06	0.000000e+00	5.340576e-05	1.225271e-08
