time	V(N025,Vo_led6)	V(Vcc_led,Vi_led6)	I(D12)
5.136121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.137121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.138121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.139121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.140121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.141121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.142121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.143121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.144121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.145121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.146121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.147121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.148121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.149121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.150121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.151121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.152121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.153121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.154121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.155121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.156121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.157121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.158121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.159121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.160121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.161121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.162121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.163121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.164121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.165121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.166121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
